Rank,Name,Nationality,Position,Own Goals,Forced Turnovers,Defensive Pressure Applied,Defensive Pressure Directly Applied
1,Mohamed Hany,EGY,DF,2,10,90,11
2,Yassine Bounou,MAR,GK,1,0,0,0
2,Ellyes Skhiri,TUN,MF,1,10,40,10
2,Damian Bobadilla,PAR,MF,1,5,95,22
2,Mahmoud Abunada,QAT,GK,1,0,0,0
2,Hassan Altambakti,KSA,DF,1,5,26,7
2,Mohamed Manai,QAT,FW,1,2,52,3
2,Yazan Alarab,JOR,DF,1,10,28,16
2,Aymen Hussein,IRQ,FW,1,5,60,3
2,Diney Borges,CPV,DF,1,5,29,16
2,Miro Muheim,SUI,DF,1,3,16,1
2,Abduvohid Nematov,UZB,GK,1,0,0,0
2,Cameron Burgess,AUS,DF,1,2,14,9
14,Lucas Bergvall,SWE,MF,0,10,60,13
14,Anthony Elanga,SWE,FW,0,10,31,1
14,Viktor Johansson,SWE,GK,0,0,0,0
14,Ross Stewart,SCO,FW,0,0,5,0
14,Nishan Velupillay,AUS,FW,0,1,57,4
14,Paul Okon Engstler,AUS,MF,0,9,78,5
14,Lewis Ferguson,SCO,MF,0,15,87,28
14,Khojiakbar Alijonov,UZB,DF,0,4,76,11
14,Nestory Irankunda,AUS,FW,0,13,116,3
14,Mohamed Toure,AUS,FW,0,3,86,5
14,Sherzod Nasrullaev,UZB,DF,0,5,42,9
14,Jesper Karlstrom,SWE,MF,0,7,38,7
14,Gabriel Gudmundsson,SWE,DF,0,13,58,14
14,Lucas Herrington,AUS,DF,0,4,11,4
14,Cristian Volpato,AUS,FW,0,11,64,4
14,Carl Starfelt,SWE,DF,0,0,0,0
14,Gustaf Lagerbielke,SWE,DF,0,8,50,14
14,Alessandro Circati,AUS,DF,0,12,48,28
14,Nikola Vasilj,BIH,GK,0,0,0,0
14,Tete Yengi,AUS,FW,0,1,17,2
14,Oston Urunov,UZB,MF,0,4,41,1
14,Connor Metcalfe,AUS,MF,0,28,180,11
14,Michael Boxall,NZL,DF,0,4,21,12
14,Abdulla Abdullaev,UZB,DF,0,7,22,7
14,Isak Hien,SWE,DF,0,13,13,8
14,Mattias Svanberg,SWE,MF,0,0,5,1
14,Scott Mckenna,SCO,DF,0,3,3,3
14,Jacob Italiano,AUS,DF,0,6,83,14
14,Kosta Barbarouses,NZL,FW,0,0,0,0
14,Harry Souttar,AUS,DF,0,4,18,6
14,Hjalmar Ekdal,SWE,DF,0,0,0,0
14,Chris Wood,NZL,FW,0,8,88,5
14,Lawrence Shankland,SCO,FW,0,4,61,9
14,Behruzjon Karimov,UZB,DF,0,5,55,7
14,Alexander Isak,SWE,FW,0,5,110,15
14,Umar Eshmurodov,UZB,DF,0,0,0,0
14,Dan Ndoye,SUI,FW,0,32,141,20
14,Aiden Oneill,AUS,MF,0,25,105,15
14,Cameron Devlin,AUS,MF,0,0,0,0
14,Viktor Gyokeres,SWE,FW,0,14,75,4
14,Tim Payne,NZL,DF,0,5,57,9
14,Jordan Bos,AUS,DF,0,23,84,21
14,Ken Sema,SWE,MF,0,2,5,2
14,Jacob Widell Zetterstrom,SWE,GK,0,0,0,0
14,Azizjon Ganiev,UZB,MF,0,6,79,11
14,Ryan Thomas,NZL,MF,0,2,50,7
14,Abbosbek Fayzullaev,UZB,MF,0,17,137,27
14,John Souttar,SCO,DF,0,0,0,0
14,Awer Mabil,AUS,FW,0,1,20,0
14,Victor Lindelof,SWE,DF,0,5,24,10
14,Lukas Hornicek,CZE,GK,0,0,0,0
14,Max Crocombe,NZL,GK,0,0,0,0
14,Ajdin Hrustic,AUS,FW,0,5,40,2
14,Yasin Ayari,SWE,MF,0,21,100,22
14,Alex Rufer,NZL,MF,0,0,0,0
14,Akmal Mozgovoy,UZB,MF,0,5,83,8
14,Kenny Mclean,SCO,MF,0,4,31,6
14,Abdukodir Khusanov,UZB,DF,0,11,23,8
14,Kristoffer Nordfeldt,SWE,GK,0,0,0,0
14,Joe Bell,NZL,MF,0,27,98,22
14,Jackson Irvine,AUS,MF,0,7,80,11
14,Callum Mccowatt,NZL,MF,0,9,55,11
14,Aziz Behich,AUS,DF,0,9,55,7
14,Victor Munoz,ESP,FW,0,0,0,0
14,Liam Kelly,SCO,GK,0,0,0,0
14,Logan Rogerson,NZL,FW,0,0,0,0
14,Mathew Ryan,AUS,GK,0,0,0,0
14,Jakhongir Urozov,UZB,DF,0,2,9,5
14,Gustaf Nilsson,SWE,FW,0,0,3,0
14,Jason Geria,AUS,DF,0,1,21,3
14,Sarpreet Singh,NZL,MF,0,10,104,7
14,Marc Pubill,ESP,DF,0,0,0,0
14,Michael Woud,NZL,GK,0,0,0,0
14,Milos Degenek,AUS,DF,0,0,0,0
14,Daniel Svensson,SWE,DF,0,8,24,3
14,Dominic Hyam,SCO,DF,0,0,0,0
14,Azizbek Amonov,UZB,FW,0,1,4,0
14,Paul Izzo,AUS,GK,0,0,0,0
14,Elijah Just,NZL,MF,0,19,152,18
14,Sherzod Esanov,UZB,MF,0,0,2,0
14,Joan Garcia,ESP,GK,0,0,0,0
14,Eric Smith,SWE,DF,0,0,0,0
14,Mathew Leckie,AUS,FW,0,2,30,4
14,Liberato Cacace,NZL,DF,0,9,59,8
14,Aaron Hickey,SCO,DF,0,1,16,5
14,Deniz Gul,TUR,FW,0,0,5,0
14,Lamine Yamal,ESP,FW,0,22,147,27
14,Alexander Bernhardsson,SWE,DF,0,14,81,9
14,Jesse Randall,NZL,FW,0,3,15,2
14,Oguz Aydin,TUR,FW,0,3,24,9
14,Eldor Shomurodov,UZB,FW,0,28,96,11
14,Can Uzun,TUR,FW,0,4,9,3
14,Callan Elliot,NZL,DF,0,0,4,1
14,Pau Cubarsi,ESP,DF,0,14,33,13
14,Benjamin Nygren,SWE,MF,0,4,71,13
14,Ferran Torres,ESP,FW,0,8,94,11
14,Nando Pijnaker,NZL,DF,0,0,0,0
14,Avazbek Ulmasaliyev,UZB,DF,0,0,0,0
14,Baris Alper Yilmaz,TUR,FW,0,24,37,5
14,Ben Gannon Doak,SCO,FW,0,13,71,6
14,Scott Mctominay,SCO,MF,0,11,103,6
14,Ferdi Kadioglu,TUR,DF,0,0,16,7
14,Ben Waine,NZL,FW,0,0,0,0
14,Botirali Ergashev,UZB,GK,0,0,0,0
14,Gavi,ESP,MF,0,4,33,8
14,Besfort Zeneli,SWE,MF,0,3,35,7
14,Alex Paulsen,NZL,GK,0,0,0,0
14,Kenan Yildiz,TUR,FW,0,7,32,5
14,Taha Ali,SWE,FW,0,4,15,0
14,Borja Iglesias,ESP,FW,0,0,4,0
14,Ismail Yuksek,TUR,MF,0,16,34,13
14,Ben Old,NZL,MF,0,2,28,4
14,Edin Dzeko,BIH,FW,0,4,69,1
14,Arda Guler,TUR,FW,0,12,62,7
14,Marko Stamenic,NZL,MF,0,10,67,18
14,George Hirst,SCO,FW,0,0,0,0
14,Farrukh Sayfiev,UZB,DF,0,1,5,0
14,Alex Baena,ESP,MF,0,24,152,25
14,Herman Johansson,SWE,DF,0,0,0,0
14,Abdulkerim Bardakci,TUR,DF,0,3,27,12
14,Francis De Vries,NZL,DF,0,1,5,1
14,Ivan Sunjic,BIH,MF,0,20,78,21
14,Nathan Patterson,SCO,DF,0,7,37,9
14,Samet Akaydin,TUR,DF,0,0,0,0
14,Finn Surman,NZL,DF,0,5,28,11
14,Elliot Stroud,SWE,DF,0,9,61,7
14,Rustam Ashurmatov,UZB,DF,0,17,32,9
14,Nico Williams,ESP,FW,0,11,42,1
14,Eren Elmali,TUR,DF,0,4,26,3
14,Tyler Bindon,NZL,DF,0,4,13,4
14,Irfan Can Kahveci,TUR,FW,0,0,4,1
14,Granit Xhaka,SUI,MF,0,28,116,18
14,Lachlan Bayliss,NZL,MF,0,0,0,0
14,Sead Kolasinac,BIH,DF,0,10,49,17
14,David Raya,ESP,GK,0,0,0,0
14,Kerem Akturkoglu,TUR,FW,0,10,38,2
14,Ricardo Rodriguez,SUI,DF,0,24,60,16
14,Che Adams,SCO,FW,0,6,73,4
14,Ugurcan Cakir,TUR,GK,0,0,0,0
14,Vladimir Darida,CZE,MF,0,10,34,1
14,Findlay Curtis,SCO,FW,0,1,12,0
14,Dostonbek Khamdamov,UZB,MF,0,9,74,6
14,Martin Zubimendi,ESP,MF,0,0,1,0
14,Patrik Schick,CZE,FW,0,7,74,4
14,Dzenis Burnic,BIH,MF,0,0,6,0
14,Altay Bayindir,TUR,GK,0,0,0,0
14,Silvan Widmer,SUI,DF,0,11,59,13
14,Merih Demiral,TUR,DF,0,3,9,3
14,Tomas Soucek,CZE,MF,0,4,42,5
14,Unai Simon,ESP,GK,0,0,0,0
14,Orkun Kokcu,TUR,MF,0,7,37,9
14,Michal Sadilek,CZE,MF,0,10,75,4
14,Otabek Shukurov,UZB,MF,0,5,96,12
14,Breel Embolo,SUI,FW,0,40,177,25
14,Dennis Hadzikadunic,BIH,DF,0,1,4,2
14,Zeki Celik,TUR,DF,0,5,35,9
14,Adam Hlozek,CZE,FW,0,6,92,7
14,Jack Hendry,SCO,DF,0,2,15,4
14,Mikel Oyarzabal,ESP,FW,0,58,272,16
14,Mert Muldur,TUR,DF,0,1,10,5
14,David Zima,CZE,DF,0,0,4,1
14,Tyler Fletcher,SCO,MF,0,0,0,0
14,Odiljon Xamrobekov,UZB,MF,0,7,39,6
14,Nico Elvedi,SUI,DF,0,8,48,12
14,Dani Olmo,ESP,FW,0,37,305,24
14,Ozan Kabak,TUR,DF,0,3,10,7
14,Jindrich Stanek,CZE,GK,0,0,0,0
14,Amir Hadziahmetovic,BIH,MF,0,0,4,0
14,Yunus Akgun,TUR,FW,0,3,12,4
14,Jaroslav Zeleny,CZE,DF,0,6,36,3
14,Denis Zakaria,SUI,MF,0,19,63,23
14,Caglar Soyuncu,TUR,DF,0,0,1,1
14,Marc Cucurella,ESP,DF,0,21,113,26
14,Remo Freuler,SUI,MF,0,27,193,31
14,Tomas Holes,CZE,DF,0,8,37,7
14,Igor Sergeev,UZB,FW,0,0,21,2
14,Salih Ozcan,TUR,MF,0,5,33,12
14,Ermedin Demirovic,BIH,FW,0,19,131,15
14,Ladislav Krejci,CZE,DF,0,2,30,10
14,Lyndon Dykes,SCO,FW,0,3,22,3
14,Hakan Calhanoglu,TUR,MF,0,11,28,5
14,Mikel Merino,ESP,MF,0,24,107,10
14,Jan Kuchta,CZE,FW,0,0,0,0
14,Aymeric Laporte,ESP,DF,0,21,34,4
14,Yvon Mvogo,SUI,GK,0,0,0,0
14,Mert Gunok,TUR,GK,0,0,0,0
14,Jamshid Iskanderov,UZB,MF,0,0,4,0
14,Fabian Ruiz,ESP,MF,0,9,82,10
14,Esmir Bajraktarevic,BIH,FW,0,16,85,8
14,Kaan Ayhan,TUR,MF,0,0,1,1
14,Vladimir Coufal,CZE,DF,0,5,49,10
14,Manuel Akanji,SUI,DF,0,15,44,21
14,Luca Jaquez,SUI,DF,0,3,15,4
14,David Doudera,CZE,DF,0,1,23,0
14,Djibril Sow,SUI,MF,0,8,54,5
14,Pedro Porro,ESP,DF,0,36,81,20
14,Johan Manzambi,SUI,MF,0,14,102,13
14,Tomas Chory,CZE,FW,0,0,14,1
14,Marcos Llorente,ESP,DF,0,12,43,12
14,Alexandr Sojka,CZE,MF,0,18,84,9
14,Nihad Mujakic,BIH,DF,0,0,0,0
14,Ryan Christie,SCO,MF,0,3,52,8
14,David Jurasek,CZE,DF,0,0,0,0
14,Yeremy Pino,ESP,FW,0,3,28,7
14,Michel Aebischer,SUI,MF,0,8,52,6
14,Aurele Amenda,SUI,DF,0,0,0,0
14,Mojmir Chytil,CZE,FW,0,1,4,1
14,Marvin Keller,SUI,GK,0,0,0,0
14,Denis Visinsky,CZE,FW,0,4,20,0
14,Lukas Provod,CZE,MF,0,9,49,5
14,Pedri,ESP,MF,0,51,257,38
14,Fabian Rieder,SUI,MF,0,19,210,30
14,Ivan Basic,BIH,MF,0,5,39,8
14,Eray Coemert,SUI,DF,0,1,9,1
14,Matej Kovar,CZE,GK,0,0,0,0
14,Ruben Vargas,SUI,FW,0,14,94,19
14,Rodri,ESP,MF,0,43,112,39
14,Cedric Itten,SUI,FW,0,4,27,6
14,Robin Hranac,CZE,DF,0,15,37,15
14,Alex Grimaldo,ESP,DF,0,0,0,0
14,Amar Dedic,BIH,DF,0,14,95,11
14,Angus Gunn,SCO,GK,0,0,0,0
14,Noah Okafor,SUI,FW,0,1,11,3
14,Lukas Cerv,CZE,MF,0,6,27,11
14,Stepan Chaloupek,CZE,DF,0,1,22,15
14,Gregor Kobel,SUI,GK,0,0,0,0
14,Eric Garcia,ESP,DF,0,1,1,1
14,Christian Fassnacht,SUI,FW,0,0,8,2
14,Pavel Sulc,CZE,FW,0,6,104,12
14,Ardon Jashari,SUI,MF,0,3,33,4
14,Zeki Amdouni,SUI,FW,0,3,49,8
14,Hugo Sochurek,CZE,MF,0,0,0,0
14,Utkir Yusupov,UZB,GK,0,0,0,0
14,Kai Trewin,AUS,DF,0,7,22,4
14,Patrick Beach,AUS,GK,0,0,0,0
14,Gabriel Martinelli,BRA,FW,0,6,60,9
14,Anibal Godoy,PAN,MF,0,0,2,1
14,Jeremy Arevalo,ECU,FW,0,0,0,0
14,Willer Ditta,COL,DF,0,0,0,0
14,Sebastian Caceres,URU,DF,0,8,31,13
14,Anthony Valencia,ECU,MF,0,0,0,0
14,Amir Murillo,PAN,DF,0,11,68,15
14,Chris Brady,USA,GK,0,0,0,0
14,Jhon Lucumi,COL,DF,0,11,29,12
14,Giovani Lo Celso,ARG,MF,0,8,23,6
14,Edson Alvarez,MEX,DF,0,3,37,13
14,Jose Canale,PAR,DF,0,2,17,4
14,Alex Freeman,USA,DF,0,17,64,20
14,Leo Pereira,BRA,DF,0,0,0,0
14,Daniel Munoz,COL,DF,0,11,64,20
14,Folarin Balogun,USA,FW,0,29,106,7
14,Sergio Rochet,URU,GK,0,0,0,0
14,Gatito Fernandez,PAR,GK,0,0,0,0
14,Gonzalo Valle,ECU,GK,0,0,0,0
14,Gabriel Magalhaes,BRA,DF,0,8,23,8
14,Juan Portilla,COL,MF,0,0,0,0
14,Lautaro Martinez,ARG,FW,0,26,181,19
14,Fernando Muslera,URU,GK,0,0,0,0
14,Matt Turner,USA,GK,0,0,0,0
14,Luis Mejia,PAN,GK,0,0,0,0
14,Bruno Guimaraes,BRA,MF,0,37,159,15
14,Rodrigo Zalazar,URU,MF,0,0,0,0
14,Adalberto Carrasquilla,PAN,MF,0,0,0,0
14,Gustavo Gomez,PAR,DF,0,9,31,10
14,Luis Suarez,COL,FW,0,13,106,15
14,Erik Lira,MEX,MF,0,17,81,26
14,Fidel Escobar,PAN,DF,0,2,16,5
14,Malik Tillman,USA,MF,0,15,115,25
14,Douglas Santos,BRA,DF,0,21,111,42
14,Cesar Montes,MEX,DF,0,9,14,4
14,Kendry Paez,ECU,MF,0,2,7,3
14,Alexandro Maidana,PAR,DF,0,2,30,6
14,Willian Pacho,ECU,DF,0,10,51,12
14,Antonee Robinson,USA,DF,0,14,66,18
14,Geronimo Rulli,ARG,GK,0,0,0,0
14,Jesus Gallardo,MEX,DF,0,7,69,19
14,Matheus Cunha,BRA,FW,0,9,133,16
14,Lisandro Martinez,ARG,DF,0,11,31,13
14,Junior Alonso,PAR,DF,0,31,140,16
14,Ronald Araujo,URU,DF,0,0,0,0
14,Cristian Martinez,PAN,MF,0,11,105,17
14,Alex Sandro,BRA,DF,0,0,4,2
14,Luis Diaz,COL,FW,0,29,103,11
14,Nahuel Molina,ARG,DF,0,27,128,26
14,Rodrigo Bentancur,URU,MF,0,9,82,15
14,Juan Manuel Sanabria,URU,MF,0,9,51,12
14,Miles Robinson,USA,DF,0,6,11,5
14,Fabinho,BRA,MF,0,1,24,5
14,Armando Gonzalez,MEX,FW,0,0,7,0
14,Bremer,BRA,DF,0,0,0,0
14,Joaquin Piquerez,URU,MF,0,0,0,0
14,Hernan Galindez,ECU,GK,0,0,0,0
14,Max Arfsten,USA,DF,0,0,0,0
14,Miguel Almiron,PAR,MF,0,17,123,21
14,Edgar Yoel Barcenas,PAN,MF,0,9,74,6
14,Mauricio,PAR,MF,0,10,75,4
14,Andres Gomez,COL,FW,0,0,1,1
14,Guillermo Martinez,MEX,FW,0,3,41,4
14,Joe Scally,USA,DF,0,4,19,4
14,Guillermo Varela,URU,DF,0,8,20,5
14,Azarias Londono,PAN,FW,0,1,24,3
14,Johan Vasquez,MEX,DF,0,7,14,6
14,Raphinha,BRA,FW,0,10,59,7
14,Roger Ibanez,BRA,DF,0,0,10,1
14,Gonzalo Montiel,ARG,DF,0,3,21,7
14,Jorge Carrascal,COL,MF,0,0,0,0
14,Mateo Chavez,MEX,DF,0,5,18,3
14,Antonio Sanabria,PAR,FW,0,4,38,2
14,Jose Fajardo,PAN,FW,0,18,99,19
14,Ricardo Pepi,USA,FW,0,18,84,15
14,Exequiel Palacios,ARG,MF,0,1,5,1
14,Danilo,BRA,DF,0,3,50,8
14,Moises Caicedo,ECU,MF,0,16,83,28
14,Ismael Diaz,PAN,MF,0,3,20,1
14,Luiz Henrique,BRA,FW,0,2,10,3
14,Orlando Gill,PAR,GK,0,1,0,0
14,Mark Mckenzie,USA,DF,0,2,9,1
