Rank,Name,Nationality,Position,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempts,Defensive Linebreaks Accuracy (%),Switches Of Play Attempts,Switches Of Play Accuracy (%)
1,Rodri,ESP,MF,799,747,93,3,0,2,21,90,11,91
2,Pau Cubarsi,ESP,DF,690,668,97,1,0,0,7,71,2,100
3,Aymeric Laporte,ESP,DF,660,618,94,0,0,0,12,58,8,100
4,Leandro Paredes,ARG,MF,565,532,94,2,50,3,8,38,7,100
5,Marc Guehi,ENG,DF,532,514,97,0,0,2,10,70,4,75
6,Enzo Fernandez,ARG,MF,519,480,92,5,40,5,21,71,8,88
7,Ezri Konsa,ENG,DF,488,469,96,3,0,1,3,100,3,67
8,Manuel Akanji,SUI,DF,479,444,93,0,0,0,8,88,8,100
9,Marc Cucurella,ESP,DF,474,433,91,15,20,1,13,54,2,100
10,Granit Xhaka,SUI,MF,470,427,91,4,0,2,15,47,8,100
11,Pedri,ESP,MF,469,420,90,14,36,2,16,75,2,100
12,Lisandro Martinez,ARG,DF,450,422,94,3,0,2,9,67,1,100
13,Achraf Hakimi,MAR,DF,449,402,90,38,32,11,7,86,6,83
14,Elliot Anderson,ENG,MF,445,396,89,6,50,1,17,71,10,90
15,Dayot Upamecano,FRA,DF,443,409,92,0,0,2,6,67,4,100
16,Nico Elvedi,SUI,DF,438,406,93,0,0,3,2,50,5,100
17,Neil El Aynaoui,MAR,MF,433,405,94,0,0,1,3,0,3,67
18,Gabriel Magalhaes,BRA,DF,431,413,96,0,0,0,2,50,2,100
19,Alexis Mac Allister,ARG,MF,430,393,91,1,0,1,3,33,3,100
19,Cristian Romero,ARG,DF,430,415,97,0,0,3,1,0,0,0
21,Sander Berge,NOR,MF,425,412,97,2,0,1,4,75,2,100
22,Pedro Porro,ESP,DF,420,379,90,19,26,3,17,35,9,100
23,Michael Olise,FRA,FW,417,362,87,20,25,17,28,75,3,100
24,Vitinha,POR,MF,403,379,94,0,0,2,7,71,11,100
25,Brandon Mechele,BEL,DF,399,369,92,0,0,1,4,50,2,100
26,Ramy Bensebaini,ALG,DF,385,359,93,0,0,1,8,38,1,100
27,Aissa Mandi,ALG,DF,382,357,93,0,0,0,5,20,10,90
28,Marquinhos,BRA,DF,380,367,97,1,100,0,4,75,6,100
29,Jonathan Tah,GER,DF,375,364,97,1,0,1,3,100,1,100
30,Joshua Kimmich,GER,DF,368,336,91,25,20,1,9,56,2,100
31,Martin Odegaard,NOR,MF,367,322,88,16,19,3,18,56,0,0
31,Lionel Messi,ARG,FW,367,288,78,46,39,25,36,58,5,80
33,Davinson Sanchez,COL,DF,361,324,90,0,0,1,10,20,6,100
34,Jan Paul Van Hecke,NED,DF,360,335,93,1,0,1,5,60,4,75
35,Marawan Attia,EGY,MF,357,313,88,8,38,0,15,47,8,100
36,Jules Kounde,FRA,DF,353,314,89,15,13,0,7,43,0,0
37,Adrien Rabiot,FRA,MF,351,323,92,2,0,2,13,77,1,100
38,Virgil Van Dijk,NED,DF,347,330,95,0,0,1,1,100,1,100
39,Declan Rice,ENG,MF,340,312,92,40,38,2,12,50,4,75
40,Renato Veiga,POR,DF,336,320,95,0,0,1,4,50,1,100
41,Rodrigo De Paul,ARG,MF,327,300,92,13,38,2,9,67,1,100
42,Issa Diop,MAR,DF,326,299,92,0,0,0,3,0,1,100
43,Remo Freuler,SUI,MF,324,299,92,5,20,0,7,71,2,0
44,Azzedine Ounahi,MAR,MF,315,281,89,6,33,8,17,65,3,100
44,William Saliba,FRA,DF,315,307,97,0,0,1,1,0,2,100
46,Unai Simon,ESP,GK,314,253,81,0,0,0,5,20,2,100
47,Torbjorn Heggem,NOR,DF,301,282,94,0,0,1,4,25,0,0
48,Tim Ream,USA,DF,298,281,94,0,0,2,6,33,5,100
49,Pedro Vite,ECU,MF,297,269,91,7,43,1,9,56,2,100
49,Ousmane Dembele,FRA,FW,297,236,79,36,17,9,29,62,6,83
49,Fabian Ruiz,ESP,MF,297,266,90,7,29,0,12,58,3,100
52,Ricardo Rodriguez,SUI,DF,295,243,82,17,18,1,24,33,4,50
52,Moises Caicedo,ECU,MF,295,264,89,16,44,0,13,54,3,100
54,Danilo,BRA,DF,294,262,89,7,29,1,6,50,1,100
55,Chris Richards,USA,DF,291,277,95,0,0,0,2,0,2,100
56,Gustavo Puerta,COL,DF,290,264,91,2,0,4,4,50,3,67
56,Moussa Niakhate,SEN,DF,290,271,93,2,50,0,1,100,4,75
58,Jhon Lucumi,COL,DF,285,262,92,0,0,1,6,17,12,100
59,Alex Freeman,USA,DF,283,256,90,4,0,13,9,67,4,75
59,Lucas Digne,FRA,DF,283,252,89,17,6,0,8,50,1,100
59,Krepin Diatta,SEN,DF,283,255,90,10,40,6,4,75,1,100
62,Mohamed Hany,EGY,DF,282,245,87,17,24,4,9,56,1,100
62,Nuno Mendes,POR,DF,282,239,85,21,29,8,17,53,4,100
64,Stephen Eustaquio,CAN,MF,281,244,87,42,38,2,15,60,3,100
65,Ime Okon,RSA,DF,280,257,92,0,0,0,2,50,2,50
65,Nabil Bentaleb,ALG,MF,280,255,91,1,0,0,3,67,1,0
67,Bruno Fernandes,POR,MF,278,239,86,22,23,3,20,65,10,90
68,Nahuel Molina,ARG,DF,276,234,85,6,0,1,6,33,2,100
69,Douglas Santos,BRA,DF,275,256,93,6,17,0,5,60,0,0
69,Noussair Mazraoui,MAR,DF,275,251,91,4,0,5,5,40,0,0
71,Jefferson Lerma,COL,MF,274,242,88,2,50,1,2,0,1,100
72,Kristoffer Ajer,NOR,DF,273,256,94,2,100,3,1,100,0,0
73,Florian Wirtz,GER,MF,271,223,82,12,42,14,15,67,2,100
74,Idrissa Gana Gueye,SEN,MF,270,243,90,1,0,0,8,63,5,100
75,Emiliano Martinez,ARG,GK,268,195,73,0,0,0,10,20,1,100
76,Josip Sutalo,CRO,DF,267,241,90,0,0,3,4,0,7,71
77,Jordan Pickford,ENG,GK,265,190,72,0,0,0,12,42,3,33
77,Lamine Yamal,ESP,FW,265,225,85,40,20,35,36,72,3,100
79,Ayyoub Bouaddi,MAR,MF,264,237,90,0,0,6,1,100,1,100
80,Timothy Castagne,BEL,DF,263,230,87,20,35,1,8,75,2,50
80,Manu Kone,FRA,MF,263,242,92,1,0,2,3,100,2,50
82,Joao Neves,POR,MF,261,247,95,2,50,3,9,56,3,67
83,Aleksandar Pavlovic,GER,MF,260,240,92,1,0,1,1,0,1,100
83,Yasser Ibrahim,EGY,DF,260,239,92,0,0,2,1,0,1,100
85,Youri Tielemans,BEL,MF,255,221,87,14,21,3,10,50,5,60
85,Gregor Kobel,SUI,GK,255,190,75,0,0,0,6,0,2,50
87,Aurelien Tchouameni,FRA,MF,254,239,94,2,0,0,1,100,2,100
88,Ruben Dias,POR,DF,249,233,94,0,0,1,6,33,1,100
89,Luka Modric,CRO,MF,248,225,91,9,44,2,9,44,2,100
90,Maxim De Cuyper,BEL,DF,246,203,83,16,25,3,9,44,2,100
90,Antonio Ruediger,GER,DF,246,230,93,1,0,0,4,25,0,0
92,Ramy Rabia,EGY,DF,244,224,92,0,0,0,2,50,8,50
92,Fares Chaibi,ALG,MF,244,220,90,7,0,3,10,50,3,100
94,Frenkie De Jong,NED,MF,243,224,92,0,0,1,5,80,2,100
95,Abdulkerim Bardakci,TUR,DF,242,222,92,6,33,1,3,33,5,60
96,Alistair Johnston,CAN,DF,240,184,77,24,25,3,17,53,2,100
96,Jhon Arias,COL,MF,240,227,95,6,17,6,7,71,3,100
98,Willian Pacho,ECU,DF,238,217,91,0,0,1,2,0,0,0
98,Bilal El Khannouss,MAR,MF,238,186,78,14,14,6,23,65,2,100
100,Ronwen Williams,RSA,GK,237,179,76,0,0,0,7,29,3,67
100,Johan Vasquez,MEX,DF,237,221,93,0,0,0,4,50,1,100
100,James Rodriguez,COL,MF,237,199,84,17,29,2,14,50,9,67
103,Lee Gihyuk,KOR,MF,236,217,92,4,0,1,3,0,4,100
104,Kylian Mbappe,FRA,FW,232,201,87,10,10,28,31,81,12,92
105,Jude Bellingham,ENG,MF,231,191,83,9,11,14,21,48,6,100
105,Tyler Adams,USA,MF,231,211,91,0,0,0,6,67,1,100
107,Nicolas Raskin,BEL,MF,230,197,86,8,38,0,8,0,1,100
108,Dani Olmo,ESP,FW,229,207,90,2,0,15,17,76,3,100
109,Mathias Olivera,URU,DF,226,213,94,3,0,1,6,50,3,100
109,Kim Minjae,KOR,DF,226,221,98,0,0,1,0,0,0,0
109,Chadi Riad,MAR,DF,226,212,94,0,0,1,1,0,1,100
112,Mike Maignan,FRA,GK,225,179,80,0,0,0,3,33,1,100
113,Casemiro,BRA,MF,224,200,89,4,25,1,8,50,4,100
114,David Alaba,AUT,DF,222,198,89,1,0,0,5,80,1,0
115,Antonee Robinson,USA,DF,221,181,82,18,22,10,13,46,2,50
115,Alessandro Circati,AUS,DF,221,177,80,1,0,1,10,60,4,75
117,Weston Mckennie,USA,MF,220,173,79,11,27,6,27,74,4,75
118,Nathan Ngoy,BEL,DF,219,205,94,0,0,0,4,25,4,100
119,Alex Baena,ESP,MF,218,178,82,44,18,5,18,67,2,100
119,Hwang Inbeom,KOR,MF,218,193,89,3,67,1,5,80,2,100
121,Nicolas Tagliafico,ARG,DF,217,190,88,4,25,2,8,50,2,100
122,Nico Oreilly,ENG,DF,216,200,93,6,50,4,6,67,2,100
123,Julian Alvarez,ARG,FW,215,183,85,1,0,3,4,50,4,100
124,Daniel Munoz,COL,DF,213,194,91,9,22,0,5,20,0,0
124,Mbekezeli Mbokazi,RSA,DF,213,185,87,2,0,2,7,57,3,67
126,Yassine Bounou,MAR,GK,211,142,67,0,0,0,9,0,0,0
126,Rayan Ait Nouri,ALG,DF,211,190,90,9,0,12,7,57,0,0
128,Mateo Kovacic,CRO,MF,208,198,95,0,0,2,3,67,2,100
129,Emam Ashour,EGY,MF,207,176,85,3,0,3,7,57,3,100
130,Gustaf Lagerbielke,SWE,DF,206,173,84,1,0,1,7,57,1,100
131,Orjan Nyland,NOR,GK,204,138,68,0,0,0,6,0,2,50
132,Richie Laryea,CAN,DF,202,167,83,4,25,2,15,60,1,100
132,Camilo Vargas,COL,GK,202,157,78,0,0,0,10,20,0,0
132,Johan Mojica,COL,DF,202,161,80,12,17,0,8,38,1,100
135,Roberto Alvarado,MEX,FW,201,163,81,34,32,7,17,47,1,100
135,Lewis Ferguson,SCO,MF,201,185,92,9,11,0,3,33,1,100
135,Djed Spence,ENG,DF,201,177,88,9,0,5,17,65,0,0
138,Marin Pongracic,CRO,DF,200,182,91,0,0,0,1,0,1,100
138,Bruno Guimaraes,BRA,MF,200,161,81,12,17,0,15,33,4,75
138,Daichi Kamada,JPN,MF,200,170,85,4,50,1,6,50,3,100
138,Lee Hanbeom,KOR,DF,200,183,92,2,50,0,3,33,1,100
138,Victor Lindelof,SWE,DF,200,190,95,0,0,0,3,67,1,100
143,Harry Souttar,AUS,DF,199,171,86,0,0,1,8,38,3,33
143,Erik Lira,MEX,MF,199,182,91,2,100,2,2,0,5,100
143,Leandro Trossard,BEL,FW,199,171,86,11,45,10,11,55,4,75
143,Hiroki Ito,JPN,DF,199,178,89,10,20,0,11,27,2,50
147,Arda Guler,TUR,FW,198,170,86,14,29,6,9,67,5,80
147,Thibaut Courtois,BEL,GK,198,144,73,0,0,0,5,0,0,0
149,Desire Doue,FRA,FW,196,167,85,5,40,10,15,47,3,100
149,Teboho Mokoena,RSA,MF,196,176,90,3,0,1,6,50,4,100
151,Diney Borges,CPV,DF,195,158,81,0,0,0,8,13,9,44
152,Luc De Fougerolles,CAN,DF,191,170,89,1,0,0,6,67,1,0
152,Mohanad Lashin,EGY,MF,191,169,88,2,0,2,7,29,6,100
154,Ibrahim Sangare,CIV,MF,190,172,91,1,0,0,4,50,1,100
154,Lucas Paqueta,BRA,MF,190,162,85,5,0,2,8,63,1,100
154,Hakan Calhanoglu,TUR,MF,190,171,90,10,10,0,5,60,7,86
157,Piero Hincapie,ECU,DF,189,160,85,15,13,2,13,31,0,0
157,Leroy Sane,GER,MF,189,161,85,11,18,7,9,44,0,0
159,Reece James,ENG,DF,188,173,92,11,27,3,8,38,3,33
159,Franck Kessie,CIV,MF,188,165,88,4,0,2,13,46,2,50
161,Khuliso Mudau,RSA,DF,187,168,90,5,20,3,5,20,0,0
161,Nicolas Otamendi,ARG,DF,187,178,95,0,0,0,1,100,1,100
163,David Moller Wolfe,NOR,DF,186,162,87,7,14,3,7,43,0,0
164,Kevin De Bruyne,BEL,MF,185,153,83,21,24,5,21,48,2,100
164,Denis Zakaria,SUI,MF,185,160,86,14,14,3,10,70,0,0
166,Joao Cancelo,POR,DF,184,160,87,12,33,6,9,56,4,75
166,John Stones,ENG,DF,184,178,97,0,0,0,1,100,3,100
168,Jose Cordoba,PAN,DF,183,169,92,1,0,1,1,100,2,100
168,Rafik Belghali,ALG,DF,183,168,92,5,40,3,3,67,0,0
170,Pico Lopes,CPV,DF,182,153,84,0,0,0,7,14,5,60
170,Ahmed Fatouh,EGY,DF,182,163,90,7,14,1,11,64,0,0
170,Gideon Mensah,GHA,DF,182,156,86,3,0,1,6,33,2,100
173,Jack Hendry,SCO,DF,180,171,95,0,0,0,2,0,1,0
174,Denzel Dumfries,NED,DF,179,147,82,17,29,1,13,54,0,0
175,Fredrik Aursnes,NOR,MF,178,158,89,4,25,1,5,20,1,100
175,Andres Andrade,PAN,DF,178,147,83,8,0,0,7,29,5,80
177,Ferdi Kadioglu,TUR,DF,175,161,92,4,0,1,9,78,1,0
178,Rodrigo Bentancur,URU,MF,174,157,90,3,0,4,2,50,0,0
178,Patrick Berg,NOR,MF,174,161,93,13,38,5,1,0,2,100
180,Sead Kolasinac,BIH,DF,173,141,82,9,11,1,5,20,0,0
181,Aiden Oneill,AUS,MF,172,142,83,8,50,3,12,42,3,33
181,Sebastian Caceres,URU,DF,172,154,90,1,0,0,4,50,3,100
183,Marko Stamenic,NZL,MF,171,156,91,2,50,2,9,44,1,100
184,Thiago Almada,ARG,FW,170,154,91,1,0,3,2,50,2,100
184,Cesar Montes,MEX,DF,170,156,92,2,0,0,5,40,2,100
184,Derek Cornelius,CAN,DF,170,151,89,1,0,0,2,50,1,0
187,Arthur Masuaku,COD,DF,169,141,83,14,21,2,6,67,5,80
188,Jesus Gallardo,MEX,DF,167,140,84,19,21,3,11,18,2,100
189,Luis Diaz,COL,FW,166,145,87,6,17,7,14,50,10,100
189,Vozinha,CPV,GK,166,117,70,0,0,1,2,0,0,0
189,Anass Salah Eddine,MAR,DF,166,152,92,3,0,0,1,100,0,0
192,Brahim Diaz,MAR,FW,165,142,86,8,38,15,13,46,0,0
192,Nikola Katic,BIH,DF,165,148,90,0,0,0,1,0,0,0
194,Kevin Danso,AUT,DF,164,147,90,1,0,2,1,0,1,100
194,Arthur Theate,BEL,DF,164,153,93,0,0,0,0,0,0,0
194,Hans Vanaken,BEL,MF,164,153,93,3,0,1,2,50,2,100
197,Guela Doue,CIV,DF,163,143,88,11,45,0,9,56,2,100
197,Malik Tillman,USA,MF,163,129,79,15,27,7,18,50,2,100
197,Facundo Medina,ARG,DF,163,150,92,5,40,0,2,100,0,0
200,Josip Stanisic,CRO,DF,162,140,86,5,20,2,9,67,3,100
200,Chancel Mbemba,COD,DF,162,130,80,4,0,2,7,43,3,100
202,Pape Gueye,SEN,MF,161,138,86,3,33,1,13,54,5,100
203,Ladislav Krejci,CZE,DF,160,135,84,2,50,0,2,50,1,100
203,Ao Tanaka,JPN,MF,160,145,91,0,0,3,1,0,0,0
205,Lee Kangin,KOR,MF,159,140,88,20,25,9,12,75,7,86
205,Orlando Gill,PAR,GK,159,68,43,0,0,0,10,0,1,100
207,Kevin Pina,CPV,MF,156,134,86,1,0,3,1,0,3,67
208,Raul Rangel,MEX,GK,155,120,77,0,0,0,4,0,1,100
208,Axel Tuanzebe,COD,DF,155,140,90,0,0,0,0,0,2,100
208,Nikola Vasilj,BIH,GK,155,94,61,0,0,0,4,0,0,0
208,Pedro Neto,POR,FW,155,137,88,13,23,7,11,73,2,50
212,Emmanuel Agbadou,CIV,DF,154,142,92,0,0,0,1,0,0,0
213,Nicolas Seiwald,AUT,MF,153,141,92,3,33,0,2,100,1,100
213,Andy Robertson,SCO,DF,153,124,81,11,36,1,7,14,3,33
213,Stjepan Radeljic,BIH,DF,153,137,90,0,0,0,2,100,2,50
213,Tarik Muharemovic,BIH,DF,153,132,86,0,0,1,3,67,3,100
213,Edson Alvarez,MEX,DF,153,138,90,2,50,1,3,0,4,75
218,Thomas Partey,GHA,MF,152,134,88,0,0,1,4,50,0,0
218,Marcos Llorente,ESP,DF,152,142,93,6,33,1,5,80,0,0
218,Paik Seungho,KOR,MF,152,135,89,1,0,0,7,43,1,100
221,Hannes Delcroix,HAI,DF,151,146,97,1,0,0,2,50,1,100
222,Konrad Laimer,AUT,MF,150,130,87,7,14,3,8,63,0,0
222,Ivan Perisic,CRO,FW,150,132,88,19,16,2,9,56,1,100
224,Julian Ryerson,NOR,FW,149,131,88,14,50,3,13,46,0,0
224,Theo Hernandez,FRA,DF,149,139,93,5,20,1,3,33,1,100
224,Odilon Kossounou,CIV,DF,149,141,95,0,0,0,1,100,0,0
224,Ghislain Konan,CIV,DF,149,124,83,9,22,9,9,44,2,100
224,Mikel Oyarzabal,ESP,FW,149,124,83,8,13,2,4,25,2,50
229,Alan Franco,ECU,MF,148,140,95,4,0,0,3,33,0,0
229,Akam Hashim,IRQ,DF,148,126,85,0,0,4,3,33,1,100
231,Riyad Mahrez,ALG,FW,147,127,86,9,33,0,9,67,6,100
231,Samuel Moutoussamy,COD,MF,147,122,83,1,100,0,6,17,4,100
231,Gabriel Gudmundsson,SWE,DF,147,112,76,5,20,1,7,14,2,100
231,Gonzalo Plata,ECU,FW,147,118,80,9,11,8,8,38,1,100
231,Mostafa Shoubir,EGY,GK,147,114,78,0,0,0,3,0,0,0
236,Finn Surman,NZL,DF,145,135,93,0,0,0,1,100,0,0
237,Joe Bell,NZL,MF,143,120,84,0,0,2,0,0,1,100
238,Yan Diomande,CIV,FW,142,127,89,21,24,15,15,53,1,100
238,Vinicius Junior,BRA,FW,142,116,82,15,40,23,21,76,4,100
240,Ibrahim Maza,ALG,MF,141,111,79,1,0,12,13,46,1,100
240,Merchas Doski,IRQ,DF,141,115,82,3,67,0,13,23,1,100
240,Shoja Khalilzadeh,IRN,DF,141,118,84,0,0,0,1,0,2,100
243,Philipp Lienhart,AUT,DF,140,128,91,0,0,0,3,67,1,100
244,Lionel Mpasi,COD,GK,139,94,68,0,0,0,5,0,0,0
244,Pathe Ciss,SEN,MF,139,128,92,0,0,0,0,0,8,75
244,Aubrey Modiba,RSA,DF,139,115,83,8,50,1,9,33,1,100
247,Xaver Schlager,AUT,MF,138,130,94,1,0,1,1,100,0,0
248,Aaron Wan Bissaka,COD,DF,137,109,80,7,29,2,5,60,0,0
249,Ricardo Ade,HAI,DF,136,121,89,0,0,0,5,40,1,100
249,Mohamed Salah,EGY,FW,136,112,82,16,19,4,9,44,0,0
249,Sebastian Berhalter,USA,MF,136,114,84,9,78,1,10,80,3,67
249,Manuel Ugarte,URU,MF,136,118,87,0,0,0,4,50,1,0
253,Julian Quinones,MEX,FW,135,111,82,4,50,5,7,100,2,100
254,Guillermo Varela,URU,DF,134,119,89,10,30,1,8,75,1,100
255,Alisson,BRA,GK,132,107,81,0,0,1,3,0,1,100
255,Stefan Posch,AUT,DF,132,98,74,2,0,0,11,36,0,0
257,Nathaniel Brown,GER,DF,131,115,88,19,32,2,6,67,0,0
257,Felix Nmecha,GER,MF,131,120,92,2,0,5,4,75,1,0
257,Lamine Camara,SEN,MF,131,117,89,8,50,2,4,50,1,100
257,Kaishu Sano,JPN,MF,131,124,95,1,100,2,1,100,1,100
257,Jorge Sanchez,MEX,DF,131,121,92,5,20,0,1,0,0,0
262,Jean Ricner Bellegarde,HAI,MF,130,112,86,12,25,1,5,60,4,100
262,Hamdy Fathy,EGY,MF,130,119,92,1,0,0,3,0,3,100
262,Maxence Lacroix,FRA,DF,130,125,96,0,0,2,0,0,1,100
265,Manuel Neuer,GER,GK,129,118,91,0,0,0,1,0,0,0
265,Dominik Livakovic,CRO,GK,129,95,74,0,0,0,0,0,0,0
265,Sadio Mane,SEN,FW,129,106,82,22,27,10,14,71,2,100
265,Sphephelo Sithole,RSA,MF,129,109,84,0,0,0,1,0,5,80
265,Juan Jose Caceres,PAR,DF,129,80,62,9,11,6,13,31,2,50
265,Ali Nemati,IRN,DF,129,114,88,3,33,0,3,0,2,100
271,Zidane Iqbal,IRQ,MF,128,118,92,1,100,5,2,50,5,100
271,Isak Hien,SWE,DF,128,122,95,0,0,0,1,0,1,100
273,Petar Sucic,CRO,MF,127,110,87,6,17,2,5,20,1,100
273,Takehiro Tomiyasu,JPN,DF,127,109,86,1,0,1,6,33,2,0
273,Shogo Taniguchi,JPN,DF,127,122,96,1,0,0,1,0,0,0
276,Marcel Sabitzer,AUT,MF,126,94,75,30,33,3,16,69,1,100
276,Ryan Gravenberch,NED,MF,126,111,88,5,20,5,3,67,0,0
278,Diogo Costa,POR,GK,125,98,78,0,0,0,5,20,2,0
